Cod;Modalidade;Quitação;Verba;Consignatário;Matrícula;Período;Prazo;Valor;Renegociado;Controlado em Folha
135449;Empréstimo Consignado (120);30/06/2023;424;Banco Bradesco;8911;Julho de 2023;5;488,24;Não;Não
135742;Empréstimo Consignado (120);20/11/2023;424;Banco Bradesco;8911;Dezembro de 2023;60;591,16;Não;Não
135759;Empréstimo Consignado (120);20/02/2025;424;Banco Bradesco;8911;Março de 2025;60;555,19;Sim;Não
133377;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;193481;Maio de 2022;0;30,28;Não;Sim
133999;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;193481;Junho de 2022;0;30,28;Não;Sim
135166;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;193481;Julho de 2022;0;30,28;Não;Sim
131759;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;78542;Fevereiro de 2022;0;1200;Não;Não
131174;Plano Odontológico;09/05/2022;999;Dental Med Center;78542;Maio de 2022;0;157,2;Não;Sim
134193;Plano Odontológico;03/06/2022;999;Dental Med Center;78542;Junho de 2022;0;157,2;Não;Sim
135133;Plano Odontológico;07/07/2022;999;Dental Med Center;78542;Julho de 2022;0;157,2;Não;Sim
132847;Empréstimo Consignado (120);02/12/2024;424;Banco Bradesco;78542;Dezembro de 2024;45;1200;Não;Não
131162;Plano Odontológico;09/05/2022;999;Dental Med Center;172721;Maio de 2022;0;80;Não;Sim
134204;Plano Odontológico;03/06/2022;999;Dental Med Center;172721;Junho de 2022;0;80;Não;Sim
135146;Plano Odontológico;07/07/2022;999;Dental Med Center;172721;Julho de 2022;0;80;Não;Sim
131851;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;11791;Fevereiro de 2022;0;261,11;Não;Não
131850;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;11791;Fevereiro de 2022;0;186,55;Não;Não
132848;Empréstimo Consignado (120);05/04/2022;424;Banco Bradesco;11791;Abril de 2022;48;261,11;Não;Não
133358;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;11791;Maio de 2022;0;50,7;Não;Sim
133126;Empréstimo Consignado (120);03/06/2022;424;Banco Bradesco;11791;Junho de 2022;48;186,55;Não;Não
133974;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;11791;Junho de 2022;0;50,7;Não;Sim
135083;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;11791;Julho de 2022;0;50,7;Não;Sim
131743;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;109871;Fevereiro de 2022;0;589,42;Não;Não
132849;Empréstimo Consignado (120);03/06/2022;424;Banco Bradesco;109871;Junho de 2022;6;589,42;Não;Não
131484;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;5071;Fevereiro de 2022;0;858,09;Não;Não
131485;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;5071;Fevereiro de 2022;0;243,28;Não;Não
132053;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5071;Maio de 2022;0;42,8;Não;Sim
132841;Empréstimo Consignado (120);03/06/2022;424;Banco Bradesco;5071;Junho de 2022;38;858,09;Não;Não
133870;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5071;Junho de 2022;0;57,03;Não;Sim
134862;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5071;Julho de 2022;0;57,03;Não;Sim
132842;Empréstimo Consignado (120);02/05/2024;424;Banco Bradesco;5071;Maio de 2024;41;243,28;Não;Não
132044;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5371;Maio de 2022;0;34,24;Não;Sim
133879;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5371;Junho de 2022;0;45,63;Não;Sim
134883;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5371;Julho de 2022;0;45,63;Não;Sim
131823;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;18291;Fevereiro de 2022;0;280,28;Não;Não
132850;Empréstimo Consignado (120);04/02/2025;424;Banco Bradesco;18291;Fevereiro de 2025;48;280,28;Não;Não
131871;Empréstimo Consignado (Especial);14/02/2022;404;Banco do Brasil;6341;Fevereiro de 2022;0;176;Não;Não
131872;Empréstimo Consignado (Especial);14/02/2022;404;Banco do Brasil;6341;Fevereiro de 2022;0;289,47;Não;Não
131421;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;6341;Fevereiro de 2022;0;236,53;Não;Não
132851;Empréstimo Consignado (120);09/05/2022;424;Banco Bradesco;6341;Maio de 2022;48;236,53;Não;Não
131299;Mensalidade;09/05/2022;991;Sindicato dos Agentes de Saúde do RN;6341;Maio de 2022;0;20,15;Não;Sim
134072;Mensalidade;03/06/2022;991;Sindicato dos Agentes de Saúde do RN;6341;Junho de 2022;0;20,15;Não;Sim
134936;Mensalidade;07/07/2022;991;Sindicato dos Agentes de Saúde do RN;6341;Julho de 2022;0;20,15;Não;Sim
132285;Empréstimo Consignado (Especial);28/04/2023;404;Banco do Brasil;6341;Maio de 2023;23;176;Não;Não
135429;Empréstimo Consignado (120);26/07/2023;424;Banco Bradesco;6341;Agosto de 2023;12;203,24;Sim;Não
131368;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;7441;Fevereiro de 2022;0;116,58;Não;Não
131365;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;7441;Fevereiro de 2022;0;328,99;Não;Não
131366;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;7441;Fevereiro de 2022;0;272,49;Não;Não
131367;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;7441;Fevereiro de 2022;0;20;Não;Não
131990;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;7441;Maio de 2022;0;12,12;Não;Sim
132828;Empréstimo Consignado (120);17/05/2022;424;Banco Bradesco;7441;Junho de 2022;96;116,58;Não;Não
132852;Empréstimo Consignado (120);17/05/2022;424;Banco Bradesco;7441;Junho de 2022;96;272,49;Não;Não
133127;Empréstimo Consignado (120);17/05/2022;424;Banco Bradesco;7441;Junho de 2022;96;328,99;Não;Não
134049;Empréstimo Consignado (144);27/05/2022;427;Caixa Econômica Federal;7441;Junho de 2022;0;286,7;Sim;Não
134050;Empréstimo Consignado (144);27/05/2022;427;Caixa Econômica Federal;7441;Junho de 2022;0;218,12;Sim;Não
134051;Empréstimo Consignado (144);27/05/2022;427;Caixa Econômica Federal;7441;Junho de 2022;0;89,24;Sim;Não
133227;Empréstimo Consignado (120);30/05/2022;424;Banco Bradesco;7441;Junho de 2022;72;20;Sim;Não
134334;Empréstimo Consignado (144);01/06/2022;427;Caixa Econômica Federal;7441;Junho de 2022;74;286,7;Não;Não
134335;Empréstimo Consignado (144);01/06/2022;427;Caixa Econômica Federal;7441;Junho de 2022;74;218,12;Não;Não
134336;Empréstimo Consignado (144);01/06/2022;427;Caixa Econômica Federal;7441;Junho de 2022;86;89,24;Não;Não
133933;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;7441;Junho de 2022;0;12,12;Não;Sim
135000;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;7441;Julho de 2022;0;12,12;Não;Sim
134298;Empréstimo Consignado (144);08/08/2023;427;Caixa Econômica Federal;7441;Agosto de 2023;73;218,13;Sim;Não
134299;Empréstimo Consignado (144);08/08/2023;427;Caixa Econômica Federal;7441;Agosto de 2023;73;286,71;Sim;Não
134297;Empréstimo Consignado (144);29/05/2024;427;Caixa Econômica Federal;7441;Junho de 2024;85;89,25;Sim;Não
131378;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;7141;Fevereiro de 2022;0;476,95;Não;Não
131996;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;7141;Maio de 2022;0;12,12;Não;Sim
133927;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;7141;Junho de 2022;0;12,12;Não;Sim
134990;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;7141;Julho de 2022;0;12,12;Não;Sim
132853;Empréstimo Consignado (120);03/11/2023;424;Banco Bradesco;7141;Novembro de 2023;96;476,95;Sim;Não
135740;Empréstimo Consignado (120);05/03/2025;424;Banco Bradesco;7141;Março de 2025;120;631,03;Sim;Não
135860;Empréstimo Consignado (120);05/03/2025;424;Banco Bradesco;7141;Março de 2025;120;139,39;Sim;Não
133382;Plano Odontológico;09/05/2022;999;Dental Med Center;188211;Maio de 2022;0;60;Não;Sim
134205;Plano Odontológico;03/06/2022;999;Dental Med Center;188211;Junho de 2022;0;60;Não;Sim
135157;Plano Odontológico;07/07/2022;999;Dental Med Center;188211;Julho de 2022;0;60;Não;Sim
131338;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;8271;Fevereiro de 2022;0;210,17;Não;Não
131339;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;8271;Fevereiro de 2022;0;396,16;Não;Não
131272;Mensalidade;09/05/2022;991;Sindicato dos Agentes de Saúde do RN;8271;Maio de 2022;0;20,15;Não;Sim
134099;Mensalidade;03/06/2022;991;Sindicato dos Agentes de Saúde do RN;8271;Junho de 2022;0;20,15;Não;Sim
135033;Mensalidade;07/07/2022;991;Sindicato dos Agentes de Saúde do RN;8271;Julho de 2022;0;20,15;Não;Sim
133128;Empréstimo Consignado (120);20/12/2023;424;Banco Bradesco;8271;Janeiro de 2024;96;210,17;Sim;Não
132854;Empréstimo Consignado (120);20/12/2023;424;Banco Bradesco;8271;Janeiro de 2024;96;396,16;Sim;Não
135350;Empréstimo Consignado (120);02/07/2024;424;Banco Bradesco;8271;Julho de 2024;120;272,23;Sim;Não
135447;Empréstimo Consignado (120);02/07/2024;424;Banco Bradesco;8271;Julho de 2024;120;81,52;Sim;Não
135775;Empréstimo Consignado (120);13/02/2025;424;Banco Bradesco;8271;Março de 2025;120;200,67;Sim;Não
135776;Empréstimo Consignado (120);13/02/2025;424;Banco Bradesco;8271;Março de 2025;120;452,5;Sim;Não
135362;Empréstimo Consignado (120);11/10/2024;424;Banco Bradesco;213001;Outubro de 2024;120;399,03;Sim;Não
135426;Empréstimo Consignado (120);11/10/2024;424;Banco Bradesco;213001;Outubro de 2024;120;413,71;Sim;Não
131853;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;11221;Fevereiro de 2022;0;194,67;Não;Não
131854;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;11221;Fevereiro de 2022;0;373,76;Não;Não
131216;Plano Odontológico;09/05/2022;999;Dental Med Center;11221;Maio de 2022;0;34,9;Não;Sim
134151;Plano Odontológico;03/06/2022;999;Dental Med Center;11221;Junho de 2022;0;69,8;Não;Sim
133129;Empréstimo Consignado (120);06/06/2022;424;Banco Bradesco;11221;Junho de 2022;96;194,67;Não;Não
132855;Empréstimo Consignado (120);06/06/2022;424;Banco Bradesco;11221;Junho de 2022;96;373,76;Não;Não
135078;Plano Odontológico;07/07/2022;999;Dental Med Center;11221;Julho de 2022;0;69,8;Não;Sim
135433;Empréstimo Consignado (120);14/03/2024;424;Banco Bradesco;11221;Abril de 2024;120;107,7;Sim;Não
135779;Empréstimo Consignado (120);14/03/2024;424;Banco Bradesco;11221;Abril de 2024;120;38,79;Sim;Não
135563;Empréstimo Consignado (120);14/03/2024;424;Banco Bradesco;11221;Abril de 2024;120;100,2;Sim;Não
131956;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;9611;Maio de 2022;0;12,12;Não;Sim
133968;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;9611;Junho de 2022;0;12,12;Não;Sim
135073;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;9611;Julho de 2022;0;12,12;Não;Sim
131163;Plano Odontológico;09/05/2022;999;Dental Med Center;167131;Maio de 2022;0;30;Não;Sim
134203;Plano Odontológico;03/06/2022;999;Dental Med Center;167131;Junho de 2022;0;30;Não;Sim
135145;Plano Odontológico;07/07/2022;999;Dental Med Center;167131;Julho de 2022;0;30;Não;Sim
131722;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;181631;Fevereiro de 2022;0;60,71;Não;Não
131723;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;181631;Fevereiro de 2022;0;430,43;Não;Não
132856;Empréstimo Consignado (120);14/03/2022;424;Banco Bradesco;181631;Março de 2022;96;430,43;Não;Não
133130;Empréstimo Consignado (120);14/03/2022;424;Banco Bradesco;181631;Março de 2022;96;60,71;Não;Não
133284;Empréstimo Consignado (144);06/06/2022;427;Caixa Econômica Federal;181631;Junho de 2022;120;533,35;Não;Não
135434;Empréstimo Consignado (120);06/06/2023;424;Banco Bradesco;181631;Junho de 2023;96;98,76;Sim;Não
135450;Empréstimo Consignado (120);15/06/2023;424;Banco Bradesco;181631;Julho de 2023;120;40,11;Sim;Não
135174;Empréstimo Consignado (120);03/05/2024;424;Banco Bradesco;181631;Maio de 2024;120;118,1;Sim;Não
135602;Empréstimo Consignado (120);03/05/2024;424;Banco Bradesco;181631;Maio de 2024;120;199,83;Sim;Não
135620;Empréstimo Consignado (120);03/05/2024;424;Banco Bradesco;181631;Maio de 2024;120;63,11;Sim;Não
135173;Empréstimo Consignado (120);03/05/2024;424;Banco Bradesco;181631;Maio de 2024;118;519,66;Sim;Não
131770;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;66614;Fevereiro de 2022;0;443,87;Não;Não
131769;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;66614;Fevereiro de 2022;0;421,51;Não;Não
131178;Plano Odontológico;09/05/2022;999;Dental Med Center;66614;Maio de 2022;0;114,27;Não;Sim
132857;Empréstimo Consignado (120);05/12/2024;424;Banco Bradesco;66614;Dezembro de 2024;46;443,87;Não;Não
132016;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5991;Maio de 2022;0;13,2;Não;Sim
133907;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5991;Junho de 2022;0;13,2;Não;Sim
134917;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5991;Julho de 2022;0;13,2;Não;Sim
132023;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5831;Maio de 2022;0;42,8;Não;Sim
133899;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5831;Junho de 2022;0;57,03;Não;Sim
134908;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5831;Julho de 2022;0;57,03;Não;Sim
135452;Empréstimo Consignado (120);08/05/2023;424;Banco Bradesco;210751;Maio de 2023;10;116,86;Sim;Não
135673;Empréstimo Consignado (120);04/09/2024;424;Banco Bradesco;210751;Setembro de 2024;12;296,06;Não;Não
135572;Empréstimo Consignado (120);28/03/2025;424;Banco Bradesco;210751;Abril de 2025;48;647,1;Sim;Não
133364;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;180581;Maio de 2022;0;30,28;Não;Sim
133986;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;180581;Junho de 2022;0;30,28;Não;Sim
135152;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;180581;Julho de 2022;0;30,28;Não;Sim
135438;Empréstimo Consignado (120);17/07/2024;424;Banco Bradesco;200601;Agosto de 2024;120;910,1;Sim;Não
131765;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;74122;Fevereiro de 2022;0;535,62;Não;Não
131764;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;74122;Fevereiro de 2022;0;81,61;Não;Não
132858;Empréstimo Consignado (120);02/12/2024;424;Banco Bradesco;74122;Dezembro de 2024;45;535,62;Não;Não
133132;Empréstimo Consignado (120);02/01/2025;424;Banco Bradesco;74122;Janeiro de 2025;39;81,61;Não;Não
135529;Empréstimo Consignado (120);03/07/2024;424;Banco Bradesco;9011;Julho de 2024;15;410,62;Não;Não
135537;Empréstimo Consignado (120);01/04/2025;424;Banco Bradesco;9011;Abril de 2025;24;667,86;Não;Não
131748;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;94662;Fevereiro de 2022;0;641,59;Não;Não
131172;Plano Odontológico;09/05/2022;999;Dental Med Center;94662;Maio de 2022;0;60;Não;Sim
134195;Plano Odontológico;03/06/2022;999;Dental Med Center;94662;Junho de 2022;0;60;Não;Sim
135135;Plano Odontológico;07/07/2022;999;Dental Med Center;94662;Julho de 2022;0;60;Não;Sim
132859;Empréstimo Consignado (120);02/12/2024;424;Banco Bradesco;94662;Dezembro de 2024;45;641,59;Não;Não
131710;Empréstimo Consignado (Especial);14/02/2022;404;Banco do Brasil;7071;Fevereiro de 2022;0;344,94;Não;Não
131382;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;7071;Fevereiro de 2022;0;848,11;Não;Não
132339;Empréstimo Consignado (Especial);18/04/2022;404;Banco do Brasil;7071;Maio de 2022;60;357,81;Não;Não
131238;Plano Odontológico;09/05/2022;999;Dental Med Center;7071;Maio de 2022;0;38,09;Não;Sim
132000;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;7071;Maio de 2022;0;31,66;Não;Sim
134130;Plano Odontológico;03/06/2022;999;Dental Med Center;7071;Junho de 2022;0;38,09;Não;Sim
133922;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;7071;Junho de 2022;0;42,18;Não;Sim
132860;Empréstimo Consignado (120);10/06/2022;424;Banco Bradesco;7071;Junho de 2022;60;848,11;Não;Não
132328;Empréstimo Consignado (Especial);16/06/2022;404;Banco do Brasil;7071;Junho de 2022;10;344,94;Não;Não
134983;Plano Odontológico;07/07/2022;999;Dental Med Center;7071;Julho de 2022;0;38,09;Não;Sim
134982;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;7071;Julho de 2022;0;42,18;Não;Sim
135218;Empréstimo Consignado (120);17/07/2023;424;Banco Bradesco;7071;Agosto de 2023;72;888,72;Não;Não
135214;Empréstimo Consignado (120);17/07/2023;424;Banco Bradesco;7071;Agosto de 2023;60;325,17;Não;Não
131833;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;16902;Fevereiro de 2022;0;119,51;Não;Não
131832;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;16902;Fevereiro de 2022;0;331,48;Não;Não
132861;Empréstimo Consignado (120);28/02/2023;424;Banco Bradesco;16902;Março de 2023;36;331,48;Não;Não
133133;Empréstimo Consignado (120);05/12/2023;424;Banco Bradesco;16902;Dezembro de 2023;28;119,51;Não;Não
131456;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;5581;Fevereiro de 2022;0;816,55;Não;Não
131457;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;5581;Fevereiro de 2022;0;95,08;Não;Não
131458;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;5581;Fevereiro de 2022;0;483,31;Não;Não
132029;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5581;Maio de 2022;0;34,24;Não;Sim
133228;Empréstimo Consignado (120);25/05/2022;424;Banco Bradesco;5581;Junho de 2022;96;483,31;Sim;Não
132862;Empréstimo Consignado (120);25/05/2022;424;Banco Bradesco;5581;Junho de 2022;96;816,55;Sim;Não
133134;Empréstimo Consignado (120);25/05/2022;424;Banco Bradesco;5581;Junho de 2022;96;95,08;Sim;Não
133893;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5581;Junho de 2022;0;45,63;Não;Sim
134901;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5581;Julho de 2022;0;45,63;Não;Sim
134270;Empréstimo Consignado (120);29/05/2023;424;Banco Bradesco;5581;Junho de 2023;120;1399,53;Não;Não
134271;Empréstimo Consignado (120);29/05/2023;424;Banco Bradesco;5581;Junho de 2023;120;320,68;Não;Não
135586;Empréstimo Consignado (144);07/08/2024;427;Caixa Econômica Federal;5581;Agosto de 2024;144;1390;Sim;Não
131466;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;5491;Fevereiro de 2022;0;1387,97;Não;Não
131657;Plano Odontológico;09/05/2022;405;PREVDENTE;5491;Maio de 2022;0;34;Não;Sim
132037;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5491;Maio de 2022;0;42,8;Não;Sim
133886;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5491;Junho de 2022;0;57,03;Não;Sim
134893;Plano Odontológico;07/07/2022;405;PREVDENTE;5491;Julho de 2022;0;34;Não;Sim
134892;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5491;Julho de 2022;0;57,03;Não;Sim
132863;Empréstimo Consignado (120);12/07/2022;424;Banco Bradesco;5491;Agosto de 2022;96;1387,97;Sim;Não
135277;Empréstimo Consignado (120);07/08/2023;424;Banco Bradesco;5491;Agosto de 2023;120;2035,62;Não;Não
131487;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;5021;Fevereiro de 2022;0;1778,8;Não;Não
132058;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5021;Maio de 2022;0;42,8;Não;Sim
132864;Empréstimo Consignado (120);12/05/2022;424;Banco Bradesco;5021;Junho de 2022;96;1778,8;Sim;Não
133865;Mensalidade;03/06/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5021;Junho de 2022;0;57,03;Não;Sim
134855;Mensalidade;07/07/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;5021;Julho de 2022;0;57,03;Não;Sim
134220;Empréstimo Consignado (120);01/09/2023;424;Banco Bradesco;5021;Setembro de 2023;120;2177,17;Sim;Não
135697;Empréstimo Consignado (120);02/09/2024;424;Banco Bradesco;5021;Setembro de 2024;120;2183,77;Sim;Não
131574;Empréstimo Consignado (120);16/02/2022;424;Banco Bradesco;2711;Fevereiro de 2022;0;1059,32;Não;Não
132103;Mensalidade;09/05/2022;402;Sindicato dos Trabalhadores em Educação Pública do RN;2711;Maio de 2022;0;25,33;Não;Sim
132865;Empréstimo Consignado (120);20/05/2022;424;Banco Bradesco;2711;Junho de 2022;96;1059,32;Não;Não
134039;Empréstimo Consignado (144);27/05/2022;427;Caixa Econômica Federal;2711;Junho de 2022;0;304,74;Não;Não
134040;Empréstimo Consignado (144);27/05/2022;427;Caixa Econômica Federal;2711;Junho de 2022;0;1000;Não;Não
134326;Empréstimo Consignado (144);01/06/2022;427;Caixa Econômica Federal;2711;Junho de 2022;120;1000;Não;Não
134327;Empréstimo Consignado (144);01/06/2022;427;Caixa Econômica Federal;2711;Junho de 2022;120;304,74;Não;Não
